chain,chain_id,symbol,name,address,amount,decimals,price_usd,value_usd,pool_size,low_liquidity
ethereum,1,mETH,ETH Mini,0x6a113e4caa8aa29c02e535580027a1a3203f43fb,164943573991548025400318175669,18,5.875530637500013e+20,9.691310224460908e+31,587.55306375,True
ethereum,1,McLaren,McLaren Metaverse,0x34f3c739fda443997b5b2cac9cb42e448b28d45d,953623422353210259843642446,18,1.4101273530000032e+20,1.3447304723217364e+29,141.0127353,True
ethereum,1,NCsoft,NCsoft Metaverse,0x67c85cbfd4cd0d38aba4561cf6b4f82cc7660707,53623422353210259843642446,18,1.1751061275000026e+20,6.301321218477798e+27,117.51061275,True
ethereum,1,Nike,Nike Metaverse,0x0000000ea8e044a0b9191343a10aad1ae1d4d8fe,6988042876615818526826629,18,3.525318382500008e+20,2.463507601063198e+27,352.53183825,True
ethereum,1,ETH,,native,975255688361163172827067,18,2350.212255,2292057870.5448666,,
ethereum,1,LEO,Bitfinex LEO Token,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,8616761256500000000000000,18,10.151301101578468,87471338.03514712,1225.460180460891,True
ethereum,1,XAUt,Tether Gold,0x68749665ff8d2d112fa859aa293f07a622782f38,18097017670,6,3417.3044702132747,61843019.38121962,8699.232759389424,True
ethereum,1,LINK,ChainLink Token,0x514910771af9ca656af840dff83e8264ecf986ca,952949035930000000000000,18,16.14002670405026,15380622.887509152,9984382.02162649,
ethereum,1,BGB,BitgetToken,0x54d2252757e1672eead234d27b1270728ff90581,1205851088980000000000000,18,4.512580568029922,5441500.192068868,313855.482011574,
arbitrum,42161,USD₮0,USD₮0,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,4212680668530,6,1.000039036829919,4212845.118228761,5323883.450892493,
ethereum,1,FET,Fetch,0xaea46a60368a7bd060eec7df8cba43b7ef41ad85,3736901630740000000000000,18,0.8497210473015546,3175323.96733528,1006491.7651183308,
ethereum,1,PEPE,Pepe,0x6982508145454ce325ddbe47a25d4ec3d2311933,182823241868761630000000000000,18,1.2451139747070637e-05,2276357.733520447,23519762.976657443,
ethereum,1,POL,Polygon Ecosystem Token,0x455e53cbb86018ac2b8092fdcd39d8444affc3f6,5877437568404422040342500,18,0.2545290569600598,1495978.6416276044,30168.8603445226,
ethereum,1,LDO,Lido DAO Token,0x5a98fcbea516cf06857215779fd812ca3bef1b32,1446134818330000000000000,18,1.0226266644950455,1478856.0256789566,1606351.3962806414,
ethereum,1,CRV,Curve DAO Token,0xd533a949740bb3306d119cc777fa900ba034cd52,1628624921120000000000000,18,0.764122832219685,1244469.4873497756,981830.8206997778,
ethereum,1,SHIB,SHIBA INU,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,40000000000000000000000000000,18,1.5089032931782791e-05,603561.3172713117,494189.13867445174,
ethereum,1,ZRX,0x Protocol Token,0xe41d2489571d322189246dafa5ebde1f4699f498,2000000000000000000000000,18,0.2966073532635919,593214.7065271838,140418.69817919217,
ethereum,1,MKR,Maker,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,336043850000000000000,18,1735.227565618658,583112.5517766215,4947974.563373255,
ethereum,1,GRT,Graph Token,0xc944e90c64b2c07662a292be6244bdf05cda44a7,5016546485280000000000000,18,0.11178513395283363,560775.3208376415,155067.0373700984,
ethereum,1,OMG,OMGToken,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,2613593738820000000000000,18,0.2131964573754293,557208.9261350271,2614.3410558940272,True
ethereum,1,DATA,Streamr,0x8f693ca8d21b157107184d29d398a8d082b38b76,25582243646919530000000000,18,0.018165764046962508,464721.0018818458,6568.166480297358,True
ethereum,1,UNI,Uniswap,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,61795447880000000000000,18,6.380950709413382,394313.7069884037,2472446.5034033568,
ethereum,1,eXRD,E-RADIX,0x6468e79a80c0eab0f9a2b574c8d5bc374af59414,44972192450460000000000000,18,0.00828559086028751,372621.18673462234,6523.612783464462,True
ethereum,1,BAT,Basic Attention Token,0x0d8775f648430679a709e98d2b0cb6250d2887ef,1915064659290000000000000,18,0.16231262235399005,310839.1668268104,51491.98402974211,
polygon,137,POL,,native,700179467616011358977335,18,0.253588,177557.1108338091,,
ethereum,1,SPELL,Spell Token,0x090185f2135308bad17527004364ebcc2d37e5f6,247762171518250000000000000,18,0.0006213512772414905,153947.34172498988,82709.96793003536,
ethereum,1,NEXO,Nexo,0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206,100000000000000000000000,18,1.2795264741999606,127952.64741999605,505940.6845431423,
ethereum,1,SNT,Status Network Token,0x744d70fdbe2ba4cf95131626614a1763df805b9e,5000000000000000000000000,18,0.023865647506787227,119328.23753393613,476989.0350981245,
ethereum,1,WAGMI,Wagmi,0x92cc36d66e9d739d50673d1f27929a371fb83a67,15821967356787450000000000,18,0.006706257563272635,106106.1882523086,5854.97300893475,True
ethereum,1,XTP,Tap,0x6368e1e18c4c419ddfc608a0bed1ccb87b9250fc,160601705671440000000000000,18,0.0006140503821527807,98617.53874193614,707.238483578689,True
zksync,324,ZK,ZKsync,0x5a7d6b2f92c77fad6ccabd7ee0624e64907eaf3e,1426887638430000000000000,18,0.06866035986696069,97970.61874432147,208166.60000692488,
ethereum,1,FTX Token,FTT,0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9,67424639490000000000000,18,1.1345942736090602,76499.6098655093,4223.199683771356,True
